WEEK,DAY,DATE,"""TOPIC FOCUS""","""WHAT'S DUE?""",SUGGESTED READINGS[^1],LAB UNIT
Week 1,W,21-Jan,"Introduction and Overview, Soil Diversity (1-1)",,pp 1-14,***No Lab***
Week 1,Th,22-Jan,Week 1 Discussion,,,
Week 1,F,23-Jan,Soil Physical Properties - (1-2),Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 2,M,26-Jan,Soil Physical Properties - Color and Structure (1-3),,pp 117-130,"1. Soil Properties - Texture, Color and Structure"
Week 2,W,28-Jan,Soil Physical Properties - By Weight/Volume (1-4),Pre-Discussion Quiz Due @ 11:59PM (Canvas),"pp 120-127, 141-145",
Week 2,Th,29-Jan,Week 2 Discussion,,,
Week 2,F,30-Jan,Zoom Session: Overview of Soil Properties and Land Use Report - Part 1,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 3,M,2-Feb,Soil Chemical Properties - Elemental Composition (1-5),,Canvas,2. Soil Properties - Clays and Mineralogy
Week 3,W,4-Feb,Soil Chemical Properties - Mineralogy  (1-6),Pre-Discussion Quiz Due @ 11:59PM (Canvas),276-289,
Week 3,Th,5-Feb,Week 3 Discussion,,,
Week 3,F,6-Feb,Zoom Session: Intro to Web Soil Survey and Soil Web - SPLUR Part 1,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 4,M,9-Feb,Soil Chemical Properties - Organic Matter (1-7),,"pp 420-434, 440-446","3. Soil Properties - Bulk Density, Porosity, Organic Matter"
Week 4,W,11-Feb,Soil Chemical Properties - pH (1-8),Pre-Discussion Quiz Due @ 11:59PM (Canvas),pp 313-343,
Week 4,Th,12-Feb,Week 4 Discussion,,,
Week 4,F,13-Feb,Zoom Session (OPTIONAL): Q&A Soil Properties and Land Use Report - Part 1,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 5,M,16-Feb,NO LECTURE,"Soil Properties and Land Use Report, Part 1 @ 11:59 PM (Canvas)",,"4. Ion Exchange, CEC, pH"
Week 5,W,18-Feb,"Soil Processes - Ion Exchange and CEC (#1, 2-1)",,pp 293-305,
Week 5,Th,19-Feb,Week 5 Discussion,,,
Week 5,F,20-Feb,"Soil Processes - Ion Exchange and CEC (#2, 2-1)",Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 6,M,23-Feb,"Soil Processes - Water Movement (#1, 2-3)",,pp 164-194,5. Soil Water
Week 6,W,25-Feb,"Soil Processes - Water Movement (#2, 2-4)",Pre-Discussion Quiz Due @ 11:59PM (Canvas),pp 197-226,
Week 6,Th,26-Feb,Week 6 Discussion,,,
Week 6,F,27-Feb,Zoom Session: Overview of Soil Properties and Land Use Report - Part 2,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 7,M,2-Mar,Soil Processes - Energy and Microorganisms (2-5),,pp 370-403,6. Soil Biological Processes (1)
Week 7,W,4-Mar,Soil Processes - C and N Cycles (2-6),,pp 446-487,
Week 7,Th,5-Mar,Week 7 Discussion - TAKE HOME,,,
Week 7,F ,6-Mar,NO LECTURE,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 8,M-F,9-Mar - 13-Mar,*****NO CLASS - SPRING BREAK*****,,,
Week 9,M,16-Mar,Soil Processes - Pedoturbation/Macrobiology (2-7),,Canvas,7. Soil Biological Processes (2)
Week 9,W,18-Mar,Soil Processes - Redox (2-8),Pre-Discussion Quiz Due @ 11:59PM (Canvas),"pp 242-248, 253-258",
Week 9,Th,19-Mar,Week 9 Discussion,,,
Week 9,F,20-Mar,Zoom Session: (OPTIONAL) Q&A Soil Properties and Land Use Report - Part 2,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 10,M,23-Mar,NO LECTURE,"Soil Properties and Land Use Report, Part 2 @ 11:59 PM (Canvas)",,8. Mineral Weathering
Week 10,W,25-Mar,"Soil Genesis and Soil Forming Factors (#1, 3-1)",,"pp 29-36 , 58-62",
Week 10,Th,26-Mar,Week 10 Discussion,,,
Week 10,F,27-Mar,"Soil Genesis and Soil Forming Factors (#2, 3-2)",Weekly Summary Quiz Due @ 11:59PM (Canvas),pp 36-47,
Week 11,M,30-Mar,Soil Genesis - Climate and Organisms (3-3),,pp 47-57,9. Soil Forming Factors
Week 11,W,1-Apr,Soil Horizons (3-4),,pp 62-67,
Week 11,Th,2-Apr,Week 11 Discussion,,,
Week 11,F,3-Apr,NO LECTURE,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 12,M,6-Apr,"Soil Taxonomy (#1, 3-5)",,pp 72-81,10. Soil Classification
Week 12,W,8-Apr,"Soil Taxonomy (#2, 3-6)",Pre-Discussion Quiz Due @ 11:59PM (Canvas),pp 81-110,
Week 12,Th,9-Apr,Week 12 Discussion,,,
Week 12,F ,10-Apr,Zoom Session: (OPTIONAL) Q&A Soil Properties and Land Use Report - Part 3,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 13,M,13-Apr,NO LECTURE,"Soil Properties and Land Use Report, Part 3 @ 11:59 PM (Canvas)",,11. Soil Survey
Week 13,W,15-Apr,Soil Survey (4-1 &  4-2),,pp 111-115,
Week 13,Th,16-Apr,Week 13 Discussion,,,
Week 13,F,17-Apr,NO LECTURE,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 14,M,20-Apr,"Nutrient Management and Fertility (#1, 4-3)",,"pp 22-25 , 573 -586","12. Soil Fertility, Soil Chemical Management"
Week 14,W,22-Apr,"Nutrient Management and Fertility (#2, 4-4)",,pp 586-603,
Week 14,Th,23-Apr,Week 14 Discussion,,,
Week 14,F,24-Apr,NO LECTURE,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 15,M,27-Apr,Soil Physical Management - Tillage (4-5),,pp 136-141,13. Soil Physical Management
Week 15,W,29-Apr,Soil Physical Management - Erosion (4-6),,pp 607-647,
Week 15,Th,30-Apr,Week 15 Discussion,,,
Week 15,F,1-May,Zoom Session: (OPTIONAL) Q&A Soil Properties and Land Use Report - Part 4,Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Week 16,M,4-May,"Soil Biological Management (4-7), Urban Soils and Soil Contaminants (4-8) + State of the Soil Address",,"pp 67-70, 669-684",***No Lab***
Week 16,W,6-May,,OPTIONAL - Extra Credit Weekly Summary Quiz Due @ 11:59PM (Canvas),,
Finals Week,Mo,11-May,,"Soil Properties and Land Use Report, Part 4 @ 11:59 PM (Canvas)",,
